Название,Цена,Изменение,Общая капитализация
Theta Fuel,$0.05232,-0.07%,"$277,339,906"
IoTeX,$0.02829,+0.77%,"$269,937,787"
Braintrust,$2.18,+2.62%,"$266,352,636"
Golem,$0.2644,-0.07%,"$264,367,038"
Harmony,$0.01973,+1.26%,"$249,681,364"
OMG Network,$1.71,+1.05%,"$240,438,741"
Polymath,$0.2515,+2.29%,"$232,602,908"
Flux,$0.8246,+3.39%,"$229,152,015"
Livepeer,$9.20,+3.56%,"$228,123,993"
0x,$0.2684,+0.58%,"$227,490,328"
Balancer,$5.19,+0.30%,"$227,499,944"
Hive,$0.5062,-0.71%,"$225,389,358"
JUST,$0.0253,+0.98%,"$225,233,212"
IOST,$0.01187,+0.87%,"$220,698,072"
BORA,$0.237,+0.42%,"$219,808,079"
ICON,$0.2386,+0.57%,"$219,432,850"
Amp,$0.005119,-0.88%,"$216,178,788"
Symbol,$0.03733,+2.01%,"$208,372,838"
Serum,$0.7859,+0.15%,"$206,886,801"
Kyber Network Crystal v2,$1.15,+0.23%,"$204,624,895"
Optimism,$0.8574,+1.30%,"$201,275,851"
Ontology,$0.2264,+0.49%,"$198,126,295"
SwissBorg,$0.1958,-4.81%,"$195,845,762"
WAX,$0.08562,+1.38%,"$187,431,714"
Storj,$0.4538,+0.54%,"$187,409,577"
Immutable X,$0.7936,-0.43%,"$186,710,466"
Moonbeam,$0.4682,-0.11%,"$186,321,794"
Chia,$34.69,-1.84%,"$183,154,153"
Siacoin,$0.003505,+0.36%,"$183,021,667"
Casper,$0.02991,+1.67%,"$182,487,401"
MXC,$0.06831,-0.14%,"$180,483,235"
Horizen,$13.95,+1.97%,"$179,927,265"
SXP,$0.3581,+0.55%,"$178,946,722"
Audius,$0.2144,+2.64%,"$178,168,552"
UMA,$2.36,-2.15%,"$162,518,187"
WOO Network,$0.1402,+2.57%,"$161,831,473"
ABBC Coin,$0.1577,+0.85%,"$160,926,250"
Smooth Love Potion,$0.003735,-12.92%,"$160,349,048"
SKALE Network,$0.03897,+1.08%,"$155,412,368"
PlayDapp,$0.3151,+0.41%,"$153,820,625"
SushiSwap,$1.21,-5.93%,"$153,558,624"
Secret,$0.9333,+1.48%,"$152,402,538"
Voyager Token,$0.547,+0.88%,"$152,331,718"
DigiByte,$0.009593,+1.27%,"$150,608,369"
APENFT,$0.0000005377,-2.05%,"$148,991,624"
Injective,$1.94,-6.47%,"$141,961,042"
COTI,$0.1263,-1.67%,"$139,991,811"
Dogelon Mars,$0.0000002527,+0.13%,"$138,375,400"
Pundi X (New),$0.5106,-5.73%,"$131,976,757"
Ren,$0.1303,-3.90%,"$130,132,759"
DAO Maker,$1.41,+2.53%,"$129,568,665"
Civic,$0.1281,+0.22%,"$128,112,779"
Velas,$0.05348,+3.86%,"$126,157,817"
Nervos Network,$0.003782,+1.40%,"$126,081,654"
Render Token,$0.4938,+3.06%,"$125,316,527"
Lisk,$0.9685,-0.38%,"$124,840,382"
Keep Network,$0.1433,-0.12%,"$123,335,945"
MediBloc,$0.01945,-0.04%,"$121,056,765"
Energy Web Token,$3.95,-0.99%,"$118,627,706"
CEEK VR,$0.147,+1.53%,"$118,463,760"
Bitcoin Standard Hashrate Token,$9.53,-7.32%,"$116,236,389"
ConstitutionDAO,$0.02232,+1.06%,"$112,943,970"
Syscoin,$0.17,-0.32%,"$112,584,304"
Celer Network,$0.01556,+0.92%,"$110,279,833"
Constellation,$0.0851,-0.05%,"$107,820,029"
Nano,$0.8059,-1.13%,"$107,386,199"
NuCypher,$0.1523,+0.65%,"$107,038,894"
Request,$0.1054,+0.74%,"$105,428,774"
Ontology Gas,$0.3283,-0.27%,"$105,220,816"
Spell Token,$0.001013,+0.58%,"$103,857,530"
Ultra,$0.3384,+1.10%,"$102,790,737"
iExec RLC,$1.26,+1.81%,"$102,399,861"
Orbs,$0.03536,+0.27%,"$101,735,793"
Vulcan Forged PYR,$4.22,-3.69%,"$100,819,665"
Numeraire,$17.01,-16.50%,"$100,165,638"
WINkLink,$0.0001038,-2.30%,"$99,864,369"
Function X,$0.2427,-1.00%,"$99,148,980"
Tribe,$0.2185,-0.88%,"$99,060,855"
Status,$0.02848,-0.48%,"$98,850,759"
Acala Token,$0.1851,+3.64%,"$97,952,814"
Ardor,$0.09744,-0.29%,"$97,345,715"
Reef,$0.004778,+1.54%,"$96,474,204"
API3,$1.71,+1.18%,"$96,466,247"
Ocean Protocol,$0.1552,+1.05%,"$95,131,405"
Powerledger,$0.1953,+0.25%,"$94,779,460"
Prom,$5.75,-0.98%,"$94,537,370"
Dent,$0.0009333,+0.78%,"$92,403,864"
MX TOKEN,$0.9216,+0.34%,"$92,156,536"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,229.16",-0.76%,"$387,799,161,326"
Ethereum,"$1,355.50",-0.54%,"$166,274,245,570"
Tether,$1.00,+0.01%,"$68,070,008,669"
BNB,$293.89,+0.47%,"$47,415,919,411"
USD Coin,$1.00,-0.00%,"$46,514,453,645"
XRP,$0.4939,-2.80%,"$24,626,342,891"
Binance USD,$1.00,+0.01%,"$21,045,664,345"
Cardano,$0.4316,+0.48%,"$14,785,258,758"
Solana,$34.17,-0.55%,"$12,136,694,769"
Dogecoin,$0.06506,-1.06%,"$8,631,445,956"
Polygon,$0.8486,-1.86%,"$7,411,650,970"
Polkadot,$6.39,+0.78%,"$7,183,802,241"
Dai,$0.9999,+0.01%,"$6,815,103,723"
Shiba Inu,$0.00001143,-0.30%,"$6,278,520,195"
TRON,$0.06252,-0.70%,"$5,772,456,654"
Uniswap,$6.75,-1.04%,"$5,146,851,360"
Avalanche,$17.33,+0.00%,"$5,131,644,012"
Wrapped Bitcoin,"$20,236.83",-0.81%,"$4,955,117,932"
UNUS SED LEO,$4.22,-1.40%,"$4,025,326,011"
Litecoin,$54.70,-0.00%,"$3,901,127,829"
Chainlink,$7.89,-2.13%,"$3,877,098,392"
Ethereum Classic,$27.63,+0.11%,"$3,790,883,419"
Cosmos,$12.91,+0.83%,"$3,696,446,991"
FTX Token,$24.86,+0.27%,"$3,331,026,947"
Stellar,$0.1197,+0.56%,"$3,052,897,296"
NEAR Protocol,$3.71,-3.46%,"$2,976,122,316"
Cronos,$0.1105,+0.03%,"$2,790,488,543"
Monero,$146.67,-0.86%,"$2,666,896,837"
Algorand,$0.3521,+0.91%,"$2,470,237,272"
Bitcoin Cash,$122.82,-1.12%,"$2,357,223,274"
Terra Classic,$0.0002989,+4.80%,"$1,838,555,948"
Flow,$1.69,+0.92%,"$1,750,720,696"
Toncoin,$1.42,-1.25%,"$1,734,534,730"
VeChain,$0.02385,+0.62%,"$1,729,099,552"
Quant,$137.98,+2.66%,"$1,665,854,340"
Filecoin,$5.59,-0.16%,"$1,641,793,284"
ApeCoin,$5.21,+1.11%,"$1,599,701,639"
Internet Computer,$6.02,+1.50%,"$1,579,489,202"
Hedera,$0.05796,+0.39%,"$1,331,308,576"
Decentraland,$0.7057,-0.84%,"$1,309,156,230"
Tezos,$1.43,+1.54%,"$1,303,109,688"
The Sandbox,$0.8656,-2.38%,"$1,297,883,954"
Chiliz,$0.2161,+0.88%,"$1,296,571,423"
Elrond,$54.82,+2.08%,"$1,289,244,337"
EOS,$1.18,+1.93%,"$1,178,188,171"
Aave,$78.32,+0.12%,"$1,103,748,807"
Theta Network,$1.08,-0.58%,"$1,080,389,874"
Axie Infinity,$12.79,+0.11%,"$1,061,944,442"
Bitcoin SV,$49.47,-1.25%,"$949,166,391"
Pax Dollar,$1.00,+0.40%,"$945,889,568"
OKB,$15.60,+0.55%,"$936,250,831"
KuCoin Token,$9.12,+0.35%,"$897,304,372"
TrueUSD,$1.00,+0.01%,"$891,007,374"
Zcash,$56.86,-0.42%,"$876,487,802"
Maker,$837.92,+1.35%,"$819,174,572"
eCash,$0.00004228,-0.73%,"$811,386,848"
USDD,$1.00,-0.04%,"$786,873,641"
IOTA,$0.2748,+1.90%,"$763,721,372"
BitTorrent-New,$0.0000007937,-0.72%,"$748,182,471"
Helium,$5.67,-8.37%,"$723,964,896"
The Graph,$0.09956,+0.73%,"$686,959,695"
Neutrino USD,$0.9727,+0.24%,"$661,713,970"
PancakeSwap,$4.70,+1.64%,"$654,989,808"
Huobi Token,$4.11,-1.04%,"$630,571,855"
Neo,$8.70,+2.27%,"$613,781,375"
Klaytn,$0.1892,+0.62%,"$578,607,355"
Fantom,$0.2257,+0.69%,"$574,453,396"
PAX Gold,"$1,708.98",+0.44%,"$555,777,123"
Synthetix,$2.32,+0.77%,"$552,492,201"
THORChain,$1.65,-1.11%,"$545,453,512"
Nexo,$0.8938,+0.20%,"$500,510,513"
Curve DAO Token,$0.9033,+0.33%,"$480,160,748"
GateToken,$4.42,-1.17%,"$478,577,967"
Lido DAO,$1.53,+2.26%,"$477,849,498"
Dash,$42.16,-0.32%,"$461,468,376"
Basic Attention Token,$0.3048,+0.81%,"$455,929,894"
Enjin Coin,$0.4525,+0.83%,"$452,452,350"
Stacks,$0.3269,-0.05%,"$437,245,832"
Kava,$1.56,-0.69%,"$436,123,624"
Compound,$59.28,+1.11%,"$430,790,296"
Fei USD,$1.00,-1.53%,"$426,214,996"
Zilliqa,$0.03153,+0.85%,"$421,653,171"
Waves,$3.82,+0.57%,"$418,060,173"
Mina,$0.5926,-0.02%,"$413,490,248"
Ravencoin,$0.0345,+2.85%,"$405,091,929"
Reserve Rights,$0.009279,+0.07%,"$392,523,602"
Trust Wallet Token,$0.9406,-3.40%,"$391,907,159"
Loopring,$0.2946,+1.18%,"$391,792,773"
Decred,$26.65,-0.96%,"$383,770,958"
Convex Finance,$5.60,-4.64%,"$379,087,448"
XDC Network,$0.03054,+2.38%,"$375,767,764"
NEM,$0.04166,-0.90%,"$374,973,978"
STEPN,$0.6239,+0.20%,"$374,334,218"
Kusama,$43.08,+1.04%,"$364,858,110"
Celo,$0.7786,+0.60%,"$364,337,254"
Bitcoin Gold,$20.48,+0.91%,"$358,738,827"
Holo,$0.002027,-0.17%,"$351,372,767"
Ethereum Name Service,$17.22,-7.17%,"$348,547,689"
1inch Network,$0.5825,+0.17%,"$340,101,430"
Terra,$2.54,-1.12%,"$323,871,177"
Celsius,$1.36,+0.83%,"$323,698,016"
BinaryX,$157.12,-1.24%,"$317,831,994"
Arweave,$9.50,+1.05%,"$317,239,757"
yearn.finance,"$8,318.74",-0.68%,"$304,779,819"
Oasis Network,$0.06043,+1.10%,"$303,786,116"
Gemini Dollar,$0.9951,+0.32%,"$299,993,643"
Qtum,$2.88,+0.56%,"$300,355,208"
Ankr,$0.03093,-0.42%,"$298,909,486"
Gnosis,$115.94,+4.29%,"$299,089,207"
TerraClassicUSD,$0.03031,+3.29%,"$297,525,350"
Gala,$0.0411,+0.26%,"$286,781,427"
Kadena,$1.41,-0.39%,"$278,770,715"
Theta Fuel,$0.05232,-0.07%,"$277,339,906"
IoTeX,$0.02829,+0.77%,"$269,937,787"
Braintrust,$2.18,+2.62%,"$266,352,636"
Golem,$0.2644,-0.07%,"$264,367,038"
Harmony,$0.01973,+1.26%,"$249,681,364"
OMG Network,$1.71,+1.05%,"$240,438,741"
Polymath,$0.2515,+2.29%,"$232,602,908"
Flux,$0.8246,+3.39%,"$229,152,015"
Livepeer,$9.20,+3.56%,"$228,123,993"
0x,$0.2684,+0.58%,"$227,490,328"
Balancer,$5.19,+0.30%,"$227,499,944"
Hive,$0.5062,-0.71%,"$225,389,358"
JUST,$0.0253,+0.98%,"$225,233,212"
IOST,$0.01187,+0.87%,"$220,698,072"
BORA,$0.237,+0.42%,"$219,808,079"
ICON,$0.2386,+0.57%,"$219,432,850"
Amp,$0.005119,-0.88%,"$216,178,788"
Symbol,$0.03733,+2.01%,"$208,372,838"
Serum,$0.7859,+0.15%,"$206,886,801"
Kyber Network Crystal v2,$1.15,+0.23%,"$204,624,895"
Optimism,$0.8574,+1.30%,"$201,275,851"
Ontology,$0.2264,+0.49%,"$198,126,295"
SwissBorg,$0.1958,-4.81%,"$195,845,762"
WAX,$0.08562,+1.38%,"$187,431,714"
Storj,$0.4538,+0.54%,"$187,409,577"
Immutable X,$0.7936,-0.43%,"$186,710,466"
Moonbeam,$0.4682,-0.11%,"$186,321,794"
Chia,$34.69,-1.84%,"$183,154,153"
Siacoin,$0.003505,+0.36%,"$183,021,667"
Casper,$0.02991,+1.67%,"$182,487,401"
MXC,$0.06831,-0.08%,"$180,494,378"
Horizen,$13.96,+1.90%,"$180,047,266"
SXP,$0.3581,+0.55%,"$178,946,722"
Audius,$0.2144,+2.64%,"$178,168,552"
UMA,$2.36,-2.15%,"$162,518,187"
WOO Network,$0.1402,+2.57%,"$161,831,473"
ABBC Coin,$0.1577,+0.85%,"$160,926,250"
Smooth Love Potion,$0.003735,-12.92%,"$160,349,048"
SKALE Network,$0.03897,+1.08%,"$155,412,368"
PlayDapp,$0.3151,+0.41%,"$153,820,625"
SushiSwap,$1.21,-6.18%,"$153,749,441"
Secret,$0.9333,+1.48%,"$152,402,538"
Voyager Token,$0.547,+0.88%,"$152,331,718"
DigiByte,$0.009593,+1.27%,"$150,608,369"
APENFT,$0.0000005384,-2.26%,"$149,173,039"
Injective,$1.94,-6.47%,"$141,961,042"
COTI,$0.126,-1.55%,"$139,667,064"
Dogelon Mars,$0.0000002527,+0.13%,"$138,375,400"
Pundi X (New),$0.5106,-5.73%,"$131,976,757"
Ren,$0.1303,-3.90%,"$130,132,759"
DAO Maker,$1.41,+2.53%,"$129,568,665"
Civic,$0.1281,+0.22%,"$128,112,779"
Velas,$0.05348,+3.86%,"$126,157,817"
Nervos Network,$0.003782,+1.40%,"$126,081,654"
Render Token,$0.4938,+3.06%,"$125,316,527"
Lisk,$0.9685,-0.38%,"$124,840,382"
Keep Network,$0.1433,-0.12%,"$123,335,945"
MediBloc,$0.01945,-0.04%,"$121,056,765"
Energy Web Token,$3.95,-1.12%,"$118,749,189"
CEEK VR,$0.147,+1.53%,"$118,463,760"
Bitcoin Standard Hashrate Token,$9.53,-7.59%,"$116,294,118"
ConstitutionDAO,$0.02232,+1.06%,"$112,943,970"
Syscoin,$0.1699,-0.12%,"$112,468,622"
Celer Network,$0.01557,+0.86%,"$110,342,137"
Constellation,$0.0851,-0.05%,"$107,820,029"
Nano,$0.8046,-0.92%,"$107,207,115"
NuCypher,$0.1523,+0.65%,"$107,038,894"
Request,$0.1054,+0.74%,"$105,428,774"
Ontology Gas,$0.3283,-0.27%,"$105,220,816"
Spell Token,$0.001013,+0.58%,"$103,857,530"
Ultra,$0.3384,+1.10%,"$102,790,737"
iExec RLC,$1.26,+1.81%,"$102,399,861"
Orbs,$0.03536,+0.27%,"$101,735,793"
Vulcan Forged PYR,$4.22,-3.69%,"$100,819,665"
Numeraire,$17.01,-16.50%,"$100,165,638"
WINkLink,$0.0001038,-2.30%,"$99,864,369"
Function X,$0.2427,-1.00%,"$99,148,980"
Tribe,$0.2185,-0.88%,"$99,060,855"
Status,$0.02848,-0.48%,"$98,850,759"
Acala Token,$0.1851,+3.64%,"$97,952,814"
Ardor,$0.09744,-0.29%,"$97,345,715"
Reef,$0.004778,+1.54%,"$96,474,204"
API3,$1.71,+1.18%,"$96,466,247"
Ocean Protocol,$0.1552,+1.05%,"$95,131,405"
Powerledger,$0.1953,+0.25%,"$94,779,460"
Prom,$5.75,-0.98%,"$94,537,370"
Dent,$0.0009333,+0.78%,"$92,403,864"
MX TOKEN,$0.9219,+0.24%,"$92,185,563"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,229.16",-0.76%,"$387,799,161,326"
Ethereum,"$1,355.50",-0.54%,"$166,274,245,570"
Tether,$1.00,+0.01%,"$68,070,008,669"
BNB,$294.20,+0.55%,"$47,464,873,989"
USD Coin,$1.00,-0.00%,"$46,514,453,645"
XRP,$0.4939,-2.80%,"$24,626,342,891"
Binance USD,$1.00,-0.01%,"$21,042,742,606"
Cardano,$0.4322,+0.36%,"$14,806,788,787"
Solana,$34.21,-0.74%,"$12,151,998,652"
Dogecoin,$0.06522,-1.14%,"$8,652,739,551"
Polygon,$0.8498,-1.91%,"$7,422,459,751"
Polkadot,$6.39,+0.78%,"$7,183,802,241"
Dai,$0.9999,+0.01%,"$6,815,103,723"
Shiba Inu,$0.00001143,-0.30%,"$6,278,520,195"
TRON,$0.06252,-0.70%,"$5,772,456,654"
Uniswap,$6.75,-1.04%,"$5,146,851,360"
Avalanche,$17.33,+0.00%,"$5,131,644,012"
Wrapped Bitcoin,"$20,236.83",-0.81%,"$4,955,117,932"
UNUS SED LEO,$4.22,-1.40%,"$4,025,326,011"
Litecoin,$54.70,-0.00%,"$3,901,127,829"
Chainlink,$7.91,-2.29%,"$3,889,007,419"
Ethereum Classic,$27.65,+0.12%,"$3,793,563,339"
Cosmos,$12.95,+0.55%,"$3,707,264,945"
FTX Token,$24.90,+0.23%,"$3,336,530,608"
Stellar,$0.1197,+0.56%,"$3,052,897,296"
NEAR Protocol,$3.72,-3.33%,"$2,976,766,990"
Cronos,$0.1105,+0.03%,"$2,790,488,543"
Monero,$146.94,-0.97%,"$2,671,822,809"
Algorand,$0.3526,+0.83%,"$2,473,526,223"
Bitcoin Cash,$123.02,-1.25%,"$2,361,130,724"
Terra Classic,$0.0002989,+4.80%,"$1,838,555,948"
Flow,$1.69,+0.92%,"$1,750,720,696"
Toncoin,$1.42,-1.25%,"$1,734,534,730"
VeChain,$0.02385,+0.62%,"$1,729,099,552"
Quant,$137.77,+2.93%,"$1,663,244,123"
Filecoin,$5.59,-0.16%,"$1,641,793,284"
ApeCoin,$5.21,+1.11%,"$1,599,701,639"
Internet Computer,$6.03,+1.38%,"$1,582,725,953"
Hedera,$0.05806,+0.31%,"$1,333,551,835"
Decentraland,$0.7066,-0.89%,"$1,310,867,843"
Tezos,$1.43,+1.53%,"$1,304,848,121"
The Sandbox,$0.8656,-2.38%,"$1,297,883,954"
Chiliz,$0.2161,+0.88%,"$1,296,571,423"
Elrond,$54.82,+2.08%,"$1,289,244,337"
EOS,$1.18,+1.83%,"$1,180,695,116"
Aave,$78.46,+0.05%,"$1,105,814,474"
Theta Network,$1.08,-0.67%,"$1,082,105,508"
Axie Infinity,$12.81,+0.22%,"$1,064,355,570"
Bitcoin SV,$49.45,-1.22%,"$948,926,164"
Pax Dollar,$0.9998,+0.49%,"$945,471,070"
OKB,$15.60,+0.55%,"$936,250,831"
KuCoin Token,$9.13,+0.36%,"$898,144,894"
TrueUSD,$1.00,-0.05%,"$891,215,536"
Zcash,$56.86,-0.42%,"$876,487,802"
Maker,$837.92,+1.35%,"$819,174,572"
eCash,$0.00004229,-0.56%,"$811,540,895"
USDD,$1,-0.05%,"$786,746,316"
IOTA,$0.2752,+1.90%,"$764,847,271"
BitTorrent-New,$0.0000007933,-0.68%,"$747,830,623"
Helium,$5.67,-8.37%,"$723,964,896"
The Graph,$0.09956,+0.73%,"$686,959,695"
Neutrino USD,$0.9731,+0.02%,"$661,978,394"
PancakeSwap,$4.70,+1.60%,"$655,622,418"
Huobi Token,$4.11,-1.02%,"$630,875,448"
Neo,$8.71,+2.28%,"$614,472,785"
Klaytn,$0.1893,+0.50%,"$578,874,341"
Fantom,$0.2262,+0.58%,"$575,662,391"
PAX Gold,"$1,708.98",+0.44%,"$555,777,123"
Synthetix,$2.32,+0.65%,"$553,607,286"
THORChain,$1.65,-0.82%,"$545,492,805"
Nexo,$0.8943,+0.12%,"$500,799,694"
Curve DAO Token,$0.9033,+0.33%,"$480,160,748"
GateToken,$4.42,-1.19%,"$479,018,632"
Lido DAO,$1.53,+2.26%,"$477,849,498"
Dash,$42.16,-0.32%,"$461,468,376"
Basic Attention Token,$0.3048,+0.81%,"$455,929,894"
Enjin Coin,$0.4525,+0.83%,"$452,452,350"
Stacks,$0.3269,+0.10%,"$437,216,655"
Kava,$1.56,-0.69%,"$436,123,624"
Compound,$59.35,+1.05%,"$431,272,338"
Fei USD,$0.9947,-0.60%,"$422,744,369"
Zilliqa,$0.03151,+0.91%,"$421,484,855"
Waves,$3.82,+0.58%,"$418,184,244"
Mina,$0.5926,-0.02%,"$413,490,248"
Ravencoin,$0.0345,+2.85%,"$405,091,929"
Trust Wallet Token,$0.9454,-3.97%,"$393,904,772"
Reserve Rights,$0.009279,+0.07%,"$392,523,602"
Loopring,$0.295,+1.07%,"$392,443,820"
Decred,$26.65,-0.96%,"$383,770,958"
Convex Finance,$5.61,-4.92%,"$379,691,320"
XDC Network,$0.03056,+2.45%,"$376,074,015"
NEM,$0.04168,-0.93%,"$375,115,373"
STEPN,$0.6249,+0.12%,"$374,934,023"
Kusama,$43.08,+1.04%,"$364,858,110"
Celo,$0.7786,+0.60%,"$364,337,254"
Bitcoin Gold,$20.48,+0.91%,"$358,738,827"
Holo,$0.00203,-0.19%,"$351,820,078"
Ethereum Name Service,$17.22,-7.17%,"$348,547,689"
1inch Network,$0.583,+0.13%,"$340,368,762"
Terra,$2.54,-0.74%,"$324,140,174"
Celsius,$1.36,+0.83%,"$323,698,016"
BinaryX,$157.12,-1.24%,"$317,831,994"
Arweave,$9.50,+1.05%,"$317,239,757"
yearn.finance,"$8,318.74",-0.68%,"$304,779,819"
Oasis Network,$0.06043,+1.10%,"$303,786,116"
Qtum,$2.88,+0.56%,"$300,355,208"
Gemini Dollar,$0.9959,+0.28%,"$300,237,723"
Ankr,$0.03093,-0.42%,"$298,909,486"
Gnosis,$115.96,+4.27%,"$299,125,269"
TerraClassicUSD,$0.03031,+3.29%,"$297,525,350"
Gala,$0.04115,+0.26%,"$287,145,367"
Kadena,$1.41,-0.37%,"$278,999,967"
Theta Fuel,$0.05242,-0.18%,"$277,910,727"
IoTeX,$0.02831,+0.65%,"$270,124,978"
Braintrust,$2.18,+2.57%,"$266,551,524"
Golem,$0.2644,-0.07%,"$264,367,038"
Harmony,$0.01973,+1.25%,"$249,728,434"
OMG Network,$1.72,+0.93%,"$240,881,516"
Polymath,$0.2515,+2.29%,"$232,602,908"
Flux,$0.8232,+3.49%,"$228,761,996"
Livepeer,$9.21,+3.44%,"$228,375,911"
0x,$0.269,+0.45%,"$227,942,054"
Balancer,$5.19,+0.30%,"$227,499,944"
JUST,$0.0253,+0.98%,"$225,233,212"
Hive,$0.5062,-0.84%,"$225,373,768"
IOST,$0.01189,+0.72%,"$220,928,949"
BORA,$0.237,+0.42%,"$219,827,663"
ICON,$0.2389,+0.50%,"$219,651,337"
Amp,$0.005118,-0.82%,"$216,127,821"
Symbol,$0.03732,+1.93%,"$208,357,254"
Serum,$0.7859,+0.15%,"$206,886,801"
Kyber Network Crystal v2,$1.15,+0.11%,"$204,926,571"
Optimism,$0.8601,+1.19%,"$201,899,197"
Ontology,$0.2264,+0.49%,"$198,126,295"
SwissBorg,$0.1961,-4.53%,"$196,099,658"
WAX,$0.08567,+1.43%,"$187,543,072"
Storj,$0.454,+0.56%,"$187,482,014"
Immutable X,$0.7936,-0.43%,"$186,710,466"
Moonbeam,$0.4682,-0.11%,"$186,321,794"
Chia,$34.69,-1.84%,"$183,154,153"
Siacoin,$0.003505,+0.36%,"$183,021,667"
Casper,$0.02996,+1.55%,"$182,782,410"
MXC,$0.06831,-0.08%,"$180,494,378"
Horizen,$13.97,+2.90%,"$180,137,157"
SXP,$0.3581,+0.55%,"$178,946,722"
Audius,$0.2144,+2.64%,"$178,168,552"
UMA,$2.35,-1.75%,"$161,844,544"
WOO Network,$0.1403,+2.50%,"$161,981,571"
ABBC Coin,$0.1577,+0.85%,"$160,926,250"
Smooth Love Potion,$0.003731,-12.83%,"$160,192,948"
SKALE Network,$0.03901,+0.95%,"$155,583,479"
SushiSwap,$1.21,-6.18%,"$153,749,441"
PlayDapp,$0.3146,+0.63%,"$153,600,341"
Secret,$0.9332,+1.52%,"$152,387,911"
Voyager Token,$0.5468,+1.13%,"$152,267,700"
DigiByte,$0.009591,+1.22%,"$150,567,007"
APENFT,$0.0000005384,-2.26%,"$149,173,039"
Injective,$1.94,-6.47%,"$141,961,042"
COTI,$0.1263,-1.92%,"$139,975,487"
Dogelon Mars,$0.0000002534,-0.33%,"$138,754,919"
Pundi X (New),$0.5101,-5.38%,"$131,850,432"
Ren,$0.1303,-3.65%,"$130,135,378"
DAO Maker,$1.41,+2.44%,"$129,739,598"
Civic,$0.1281,+0.19%,"$128,147,031"
Velas,$0.05348,+3.86%,"$126,157,817"
Nervos Network,$0.003777,+1.73%,"$125,924,485"
Render Token,$0.4943,+3.20%,"$125,454,679"
Lisk,$0.9683,-0.34%,"$124,813,618"
Keep Network,$0.1434,-0.06%,"$123,454,671"
MediBloc,$0.01945,-0.04%,"$121,056,765"
Energy Web Token,$3.95,-1.12%,"$118,749,189"
CEEK VR,$0.147,+1.76%,"$118,410,883"
Bitcoin Standard Hashrate Token,$9.50,-7.33%,"$115,957,995"
ConstitutionDAO,$0.02232,+1.06%,"$112,943,970"
Syscoin,$0.1698,-0.19%,"$112,412,653"
Celer Network,$0.01557,+0.86%,"$110,342,137"
Constellation,$0.0851,-0.05%,"$107,820,029"
Nano,$0.8046,-0.92%,"$107,207,115"
NuCypher,$0.1524,+0.52%,"$107,136,259"
Request,$0.1055,+0.76%,"$105,510,835"
Ontology Gas,$0.3284,-0.26%,"$105,256,999"
Spell Token,$0.001013,+0.58%,"$103,857,530"
Ultra,$0.3394,+0.89%,"$103,113,135"
iExec RLC,$1.26,+1.81%,"$102,399,861"
Orbs,$0.03533,+0.40%,"$101,634,366"
Numeraire,$16.91,-15.79%,"$99,588,813"
Vulcan Forged PYR,$4.23,-3.74%,"$101,045,171"
WINkLink,$0.0001038,-2.30%,"$99,864,369"
Function X,$0.2427,-1.00%,"$99,148,980"
Tribe,$0.2185,-0.88%,"$99,060,855"
Status,$0.02848,-0.48%,"$98,850,759"
Acala Token,$0.1856,+3.43%,"$98,257,537"
Ardor,$0.09755,-0.50%,"$97,450,791"
Reef,$0.004778,+1.54%,"$96,474,204"
API3,$1.71,+1.18%,"$96,466,247"
Ocean Protocol,$0.1554,+0.92%,"$95,260,087"
Powerledger,$0.1952,+0.36%,"$94,754,039"
Prom,$5.75,-0.98%,"$94,537,370"
Dent,$0.0009333,+0.78%,"$92,403,864"
MX TOKEN,$0.9219,+0.24%,"$92,185,563"
Название,Цена,Изменение,Общая капитализация
Bitcoin,"$20,250.04",-0.76%,"$388,199,537,488"
Ethereum,"$1,355.50",-0.54%,"$166,274,245,570"
Tether,$1.00,+0.00%,"$68,070,568,703"
BNB,$294.20,+0.55%,"$47,464,873,989"
USD Coin,$1.00,-0.01%,"$46,513,567,532"
XRP,$0.4947,-2.80%,"$24,665,453,480"
Binance USD,$1.00,-0.01%,"$21,042,742,606"
Cardano,$0.4322,+0.36%,"$14,806,788,787"
Solana,$34.21,-0.74%,"$12,151,998,652"
Dogecoin,$0.06522,-1.14%,"$8,652,739,551"
Polygon,$0.8498,-1.91%,"$7,422,459,751"
Polkadot,$6.40,+0.88%,"$7,190,451,230"
Dai,$0.9998,+0.01%,"$6,814,836,956"
Shiba Inu,$0.00001144,-0.28%,"$6,281,466,574"
TRON,$0.06255,-0.68%,"$5,775,677,576"
Uniswap,$6.77,-1.32%,"$5,159,919,195"
Avalanche,$17.34,+0.08%,"$5,133,309,278"
Wrapped Bitcoin,"$20,236.83",-0.81%,"$4,955,117,932"
UNUS SED LEO,$4.23,-1.60%,"$4,035,901,506"
Litecoin,$54.79,-0.17%,"$3,907,978,585"
Chainlink,$7.91,-2.29%,"$3,889,007,419"
Ethereum Classic,$27.65,+0.12%,"$3,793,563,339"
Cosmos,$12.95,+0.55%,"$3,707,264,945"
FTX Token,$24.90,+0.23%,"$3,336,530,608"
Stellar,$0.1197,+0.56%,"$3,052,897,296"
NEAR Protocol,$3.72,-3.33%,"$2,976,766,990"
