Категория,Анализ,Биоматериал,Описание,Стоимость,Готовность дней 
Гормоны,Антиген СА 242,Сыворотка,"Антиген СА 242 продуцируется клетками эпителия желудочно-кишечного тракта. Его появление в крови в большом количестве может свидетельствовать о развитии рака поджелудочной железы, толстого кишечника или прямой кишки.",1190,10
Гормоны,Антимюллеров гормон,Сыворотка,"Антимюллеровский гормон обеспечивает дифференцировку пола у эмбриона, а также участвует в сперматогенезе и созревании фолликула. Он служит индикатором функции половых желез, и его используют, чтобы выяснить причину нарушения дифференцировки пола, мужского и женского бесплодия, а также при диагностике некоторых опухолей.",1390,1
Гормоны,Ассоциированный с беременностью протеин А,Сыворотка,"Это белок, который вырабатывается в больших количествах во время беременности. По его уровню оценивают риск хромосомных аномалий в дородовой диагностике патологий плода.",2390,3
Гормоны,Гидроксипрогестерон,Сыворотка,Гидроксипрогестерон (17-ОПГ) - вещество-предшественник гормона кортизола. Измерение его концентрации позволяет охарактеризовать этапы синтеза глюкокортикоидов.,790,5
Гормоны,"Глобулин, связывающий половые гормоны",Сыворотка,"Глобулин, связывающий половые гормоны - это белок, связывающий стероидные гормоны (тестостерон и эстрадиол) для их последующей транспортировки в организме.",690,1
Гормоны,ДГЭА-сульфат,Сыворотка,"Дегидроэпиандростерон-сульфат (ДЭА-SO4) – это андроген, мужской половой гормон, который присутствует в крови как у мужчин, так и у женщин. Он играет важную роль в развитии вторичных мужских половых признаков при половом созревании и может преобразовываться в тестостерон и эстрадиол. ДЭА-SO4 вырабатывается корой надпочечников, его производство контролируется адренокортикотропным гормоном (АКТГ). Женщинам рекомендуется сдавать анализ на 8-10-й день цикла.",590,1
Гормоны,Дигидротестостерон,Сыворотка,"Дигидротестостерон – это один из наиболее активных андрогенов (как у мужчин, так и у женщин), образующийся из тестостерона непосредственно в ""органах-мишенях"" с участием специального фермента (5-альфа-редуктазы).",1490,5
Гормоны,Ингибин A,Сыворотка,"Ингибин – димерный белок, который секретируется у женщин яичниками, а также во время беременности – тканями плода, плаценты и плодными оболочками.",1890,5
Гормоны,Ингибин В,Сыворотка,"Ингибин В – биологически активный гликопротеин, который синтезируется в фолликулах яичников и семенных канальцах яичек и является маркером мужской и женской репродуктивной функции, а также некоторых новообразований яичников.",1690,5
Гормоны,Инсулин,Сыворотка,"Инсулин – это гормон, секретируемый эндокринной частью поджелудочной железы. Он регулирует обмен углеводов, поддерживая глюкозу в крови на необходимом уровне, а также участвует в обмене жиров (липидов).",790,1
Гормоны,Кальцитонин,Сыворотка,"Кальцитонин – это гормон щитовидной железы, синтезирующийся в парафолликулярных клетках, один из основных регуляторов кальций-фосфорного обмена.",1190,2
Гормоны,"Катехоламины мочи (адреналин, норадреналин, дофамин)",Моча с консервантом,"Катехоламины – это группа сходных гормонов, вырабатываемых мозговым веществом надпочечников. В норме катехоламины и продукты их распада присутствуют в организме в небольших количествах. Их содержание значительно возрастает на короткое время только при стрессах. Однако хромаффинные и другие нейроэндокринные опухоли могут вызывать образование больших количеств катехоламинов, что приводит к значительному повышению уровней этих гормонов и продуктов их распада в крови и моче. Это грозит длительными или кратковременными повышениями кровяного давления и, соответственно, сильными головными болями.",1890,3
Гормоны,Кортизол,Сыворотка,"Гормон, относящийся к группе кортикостероидов. Синтез и высвобождение кортизола в кровь зависит от активности АКТГ. Основные функции кортизола: ускоряет синтез глюкозы, повышая ее содержание в крови, стимулирует расщепление жиров, стабилизирует мембраны тучных клеток (противоаллергическое действие), обладает противовоспалительным действием. Гормон имеет суточный ритм секреции с максимальной концентрацией утром (6-8 часов утра) и минимальным содержанием вечером (после 21 часа). При стрессовых ситуациях, травмах, физической нагрузке, беременности концентрация в крови возрастает. Тест используется для диагностики болезни и синдрома Иценко – Кушинга.",790,1
Гормоны,Кортизол мочи,Суточная моча,"Кортизол – это гормон, который образуется в коре надпочечников – небольших органах треугольной формы, расположенных на верхних полюсах обеих почек. Функции кортизола в организме: защита от стресса, регуляция артериального давления, участие в обмене белков, жиров и углеводов.",1190,7
Гормоны,Лептин,Сыворотка,"Лептин – это гормон жировой ткани, регулирующий энергетический обмен и массу тела (подавляет аппетит), обеспечивающий регуляцию энергетических, нейроэндокринных и метаболических процессов организма. Снижение концентрации лептина ведёт к развитию ожирения. Лептин рассматривается в качестве одного из факторов патогенеза инсулиннезависимого сахарного диабета (сахарного диабета 2-го типа).",1190,5
Гормоны,Лютеинизирующий гормон,Сыворотка,"Лютеинизирующий гормон (ЛГ) – гонадотропный гормон передней доли гипофиза, стимулирующий секрецию половых гормонов (эстрогенов и прогестеронов) у мужчин и женщин.",590,1
Гормоны,Макропролактин,Сыворотка,Макропролактин – это высокомолекулярный комплекс гормона пролактина и иммуноглобулина G.,1290,3
Гормоны,Маркер формирования костного матрикса,Сыворотка,N-терминальный пропептид проколлагена1 типа. Фрагмент предшественника коллагена I типа. Основной показатель активности формирования костной ткани.,2190,7
Гормоны,Общий бета-ХГЧ,Сыворотка,"Хорионический гонадотропин человека (ХГЧ) – это гормон, который вырабатывается в плодной оболочке человеческого эмбриона. Он является важным показателем развития беременности и ее отклонений. Бета-субъединица хорионического гонадотропина уникальна, что, с одной стороны, обуславливает специфичность его действия, а с другой – позволяет идентифицировать его в биологических средах. Зная уровень бета-ХГЧ в крови, можно уже на 6-8-й день после зачатия диагностировать беременность. В норме при беременности в период между 2-й и 5-й неделей количество бета-ХГЧ удваивается каждые 1,5 суток.",790,1
Гормоны,Опухолевый маркер НЕ 4,Сыворотка,"Определение концентрации человеческого эпидидимального протеина 4 (HE4), которое может быть использовано для диагностики, оценки прогноза и контроля лечения рака яичника и эндометрия.",1590,5
Гормоны,Остеокальцин,Кровь с EDTA и апротинином,"Остеокальцин – это основной витамин К – зависимый неколлагеновый белок костного матрикса, связывающий кальций и гидроксиапатиты. Он синтезируется остеобластами и одонтобластами костной ткани. Основная часть синтезированного белка входит в состав внеклеточного матрикса костной ткани, который затем минерализуется с образованием новой кости, а оставшаяся часть попадает в кровоток. При резорбции костной ткани под воздействием остеокластов остеокальцин высвобождается из костного матрикса и попадает в кровь в виде неиммунных фрагментов. Они выводятся почками в виде метаболитов гамма-карбоксиглутаминовой кислоты (Gla), поэтому уровень остеокальцина в крови зависит от функционального состояния почек. N-остеокальцин – это большой фрагмент витамин К – зависимого неколлагенового белка костного матрикса, остеокальцина, синтезируемого остеобластами. Он является маркером метаболизма костной ткани.",1190,1
Гормоны,Паратгормон,Кровь с EDTA и апротинином,"Паратиреоидный гормон (ПТГ) – полипептидный гормон, который синтезируется паращитовидными железами и играет важную роль в регуляции уровня кальция и фосфора в организме.",990,1
Гормоны,Плацентарный лактоген,Сыворотка,"Плацентарный лактоген (ПЛ) – это полипептидный гормон, вырабатываемый клетками синцитиотрофобласта и необходимый для регуляции метаболизма матери и плода.",990,10
Гормоны,Прогестерон,Сыворотка,"Прогестерон - это стероидный гормон, влияющий на менструальный цикл, беременность и эмбриональное развитие.",690,1
Гормоны,Проинсулин,Сыворотка,"Проинсулин является предшественником инсулина и С-пептида, который синтезируется островками В-клеток поджелудочной железы.",1490,7
Гормоны,Пролактин,Сыворотка,"Пролактин - это гормон, производимый гипофизом. Одна из самых важных функций гормона — поддержание желтого тела в яичнике, которое вырабатывает прогестерон, необходимый для успешного вынашивания.У мужчин пролактин также регулирует деятельность надпочечников и выработку андрогенов. В случае слишком высокого содержания пролактина в крови (гиперпролактинемия) может наблюдаться депрессия, снижение либидо, репродуктивные нарушения как у женщин, так и у мужчин.",590,1
Гормоны,Ренин,Кровь с EDTA и апротинином,"Ренин – расщепляющий белки фермент, который производится юкстагломерулярными клетками почек. Основной его функцией является регулирование артериального давления, уровня калия и баланса объема жидкости.",1390,5
Гормоны,С-концевые телопептиды коллагена I типа,Сыворотка,"С-концевые телопептиды коллагена I типа (Beta-Cross laps) представляют собой продукт деградации спирального белка коллагена, из которого на 90% состоит матрикс кости. Известно, что кости человека находятся в постоянном процессе формирования и резорбции, то есть рассасывания.",1390,5
Гормоны,Тестостерон общий,Сыворотка,"Тестостерон — стероидный гормон (андроген), один из главных показателей андрогенного статуса организма. Он синтезируется корой надпочечников, семенниками у мужчин и яичниками у женщин. Гормон влияет на развитие вторичных половых признаков, половое влечение, активирует потенцию и сперматогенез.",690,1
Гормоны,Тестостерон свободный,Сыворотка,"Биологически активная фракция стероидного полового гормона тестостерона, не связанная с белками крови.
Тестостерон свободный составляет 2–3% от общего.",1290,5
Гормоны,Тиреоглобулин,Сыворотка,"Тиреоглобулин – прогормон щитовидной железы, являющийся маркером рецидива высокодифференцированных злокачественных новообразований щитовидной железы и используемый для контроля лечения этих заболеваний.",890,1
Гормоны,Тиреотропный гормон (ТТГ),Сыворотка,"Тиреотропный гормон (ТТГ) – основной регулятор функции щитовидной железы, синтезирующийся гипофизом – небольшой железой, которая расположена на нижней поверхности головного мозга. Основная его функция – поддерживать постоянную концентрацию гормонов щитовидной железы – тиреоидных гормонов, которые регулируют процессы образования энергии в организме. Когда их содержание в крови понижается, гипоталамус высвобождает гормон, стимулирующий секрецию ТТГ гипофизом.",590,1
Гормоны,Тироксин (Т4) свободный,Сыворотка,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Свободный тироксин – биологически активная часть общего тироксина, которая играет важную роль в обмене веществ.",590,1
Гормоны,Тироксин общий (Т4),Сыворотка,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Общий тироксин – это сумма двух фракций: связанной и не связанной с белками плазмы крови.",690,1
Гормоны,Тироксин связывающая способность сыворотки,Сыворотка,"Тест, который помогает оценить содержание в крови тироидсвязывающих белков (в основном тироксинсвязывающего глобулина) и их влияние на концентрацию Т4 общего (тироксин общий).",1190,2
Гормоны,Трийодтиронин (Т3) свободный,Сыворотка,"Трийодтиронин (Т3) - один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического (главным образом поглощения кислорода тканями) и пластического обмена в организме. Общий трийодтиронин – это сумма двух фракций: связанной и не связанной с белками плазмы крови.Трийодтиронин (Т3) – гормон щитовидной железы, биологическая активность которого в 3-5 раз превышает активность тироксина (Т4). Некоторое количество трийодтиронина синтезируется в щитовидной железе, однако в основном он образуется при дейодировании тироксина вне ее. Большая часть цирку­лирующего в крови трийодтиронина связана с белками плазмы, в частности с тироксинсвязывающим глобулином, тироксин-связывающим преальбумином и альбумином.",590,3
Гормоны,Трийодтиронин общий (Т3),Сыворотка,"Трийодтиронин (Т3) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического (главным образом поглощения кислорода тканями) и пластического обмена в организме. Общий трийодтиронин – это сумма двух фракций: связанной и не связанной с белками плазмы крови.",590,1
Гормоны,Фолликулостимулирующий гормон,Сыворотка,"Фолликулостимулирующий гормон — вырабатывается в гипофизе, от его концентрации в крови зависит правильное развитие и работа половой системы. ФСГ отвечает за развитие фолликула в яичнике, созревание в нем яйцеклетки и выход ее в полость тела. У мужчин ФСГ участвует в процессе созревания семенников и семенных канальцев. Чаще всего анализ на ФСГ необходим для выявления причин бесплодия, как у женщин, так и у мужчин.",590,1
Гормоны,Эстрадиол,Сыворотка,"Эстрадиол - это основной и наиболее активный для человека женский половой гормон. Эстрадиол отвечает за фертильность женщины и за развитие по женскому типу. Эстрадиол в организме будущей матери отвечает за сохранение беременности, состояние маточных сосудов и усиление в них кровообращения, повышает свертываемость крови. Анализ на эстрадиол назначают при подозрениях на проблемы с репродуктивным здоровьем или гормональный дисбаланс. Также назначается при симптомах феминизации у мужчин.",590,1
Гормоны,Эстриол свободный,Сыворотка,"Эстриол - это малоактивный 
второстепенный женский половой 
гормон, отвечающий за нормальное протекание беременности.",1190,3
Антитела,А/т к ХГЧ (аутоантитела-маркеры анти-ХГЧ синдрома),Кровь,"Антитела к ХГЧ – иммуноглобулины, повреждающие клетки эмбриона и препятствующие связыванию хорионического гонадотропного гормона с рецепторами желтого тела. Они вмешиваются в процесс слияния гормона и желтого тела и повреждают клетки плода. Наличие антител к ХГЧ может являться аутоиммунным фактором привычного выкидыша и причиной бесплодия. Наиболее высокая частота встречаемости антител к ХГЧ отмечается среди женщин с привычным невынашиванием беременности, с антенатальными потерями или искусственными прерываниями беременности на малых сроках.",1590,10
Антитела,А/т к рецепторам ТТГ,Сыворотка,Антитела к рецепторам ТТГ – основной диагностический маркер диффузного токсического зоба (болезни Грейвса). Антитела конкурируют с ТТГ за связывание с рецепторами и нарушают функцию щитовидной железы.,1649,7
Антитела,Авидность IgG к вирусу Эпштейна-Барр,Сыворотка,Вирус Эпштейна - Барр (EBV) относится к семейству герпес-вирусов. Определение авидности к вирусу Эпштейна-Барр позволяет уточнить сроки инфицирования и дифференцировать первичную инфекцию от обострения хронической или латентно текущей инфекции.,1290,5
Антитела,Авидность IgG к вирусу краснухи,Сыворотка,"Исследование авидности иммуноглобулинов класса G (IgG) к вирусу краснухи – метод обследования, позволяющий определить степень эффективности специфического взаимодействия между молекулами антител и антигенов, скорость образования иммунного комплекса и полноту нейтрализации антигенов.",1490,7
Антитела,Авидность IgG к токсоплазме (Toxoplasma gondii),Сыворотка,"Исследование, направленное на определение авидности антител класса IgG к Toxoplasma gondii для определения срока первичного инфицирования и длительности токсоплазменной инфекции (токсоплазмоза). Определение авидности антител необходимо производить при положительных результатах выявления антител классов IgM и/или IgG к антигенам возбудителя Toxoplasma gondii.",1190,1
Антитела,Авидность IgG к цитомегаловирусу,Сыворотка,Индекс авидности к ЦМВ позволяет оценить силу связывания антигена с антителами класса IgG.,1990,1
Антитела,Антикератиновые антитела,Сыворотка,"Антикератиновые антитела (АКА) – аутоантитела, направленные организмом против собственного белка филаггрина, которые являются специфичными маркерами ревматоидного артрита и исследуются для диагностики, оценки активности и прогноза этого заболевания.",1690,10
Антитела,"Антинейтрофильные цитоплазматические антитела, IgG ANCA",Сыворотка,"Антинейтрофильные антитела (ANCA) являются маркером системных васкулитов. К таким заболеваниям относят: гранулематоз Вегенера, микроскопический полиангиит и синдром Черджа – Стросс.",2190,2
Антитела,Антинуклеарный фактор на клеточной линии HEp-2,Сыворотка,"При системной красной волчанке (СКВ) и других системных ревматических заболеваниях иммунный ответ направлен против нуклеопротеиновых антигенов, т.е. комплексов нуклеиновых кислот и белков. Такие эндогенные нуклеопротеиновые аутоантигены могут образовываться в ходе процесса апоптоза эпителиальных клеток (каскад генетически запрограммированных реакций, приводящих к удалению поврежденной или дефектной клетки) и напоминают чужеродные вирусные частицы. Ускорение процессов апоптоза под действием ультрафиолетового облучения, вирусных инфекций или лекарственных препаратов, одновременно с нарушенным или замедленным удалением продуктов апоптоза, запускает аутоиммунные ответы при СКВ. Нуклеопротеиновые антигены конденсируются в апоптотических тельцах, которые становятся мишенью для аутоантител. В настоящее время описаны около 200 разновидностей антител к нуклеопротеинам и рибонуклеиновым кислотам, которые получили название антинуклеарные антитела. При аутоиммунных заболеваниях аутоантитела к ядерным антигенам не обладают прямым цитотоксическим действием на клетки человека, однако иммунные комплексы способны запускать иммунологическое воспаление, особенно в местах, где сосуды особенно тонки, в том числе в почках, коже, центральной нервной системе, синовиальной оболочке суставов, плевре. Исследование антинуклеарного фактора (АНФ) представляет собой основной метод выявления антинуклеарных антител, позволяя выявлять аутоантитела к нуклеиновым кислотам (дсДНК, осДНК, РНК), рибонуклеопротеинам, а также большинству конформационных и нерастворимых антигенов.",1390,7
Антитела,Антиретикулиновые антитела,Сыворотка,"Тест на антиретикулиновые антитела - это определение аутоиммунных антител к компонентам соединительной ткани, которые являются специфическими маркерами глютеновой энтеропатии.",2490,10
Антитела,Антистрептолизин - О,Кровь,Антистрептолизин-О - это вырабатываемые организмом антитела против стрептококка группы А - стрептолизина. Их наличие является показателем перенесенной стрептококковой инфекции.,590,1
Антитела,Антитела IgG к легионелле (Legionella pneumoniae),Кровь,"Легионеллез - острая инфекционная патология, проявляющаяся выраженной интоксикацией, симптомами пневмонии, альвеолита, поражения ЖКТ, почек и нервной системы. Естественным местом обитания возбудителя являются неживые объекты окружающей среды. Размножение микробов происходит вне организма человека, чаще всего в воде. Выделение бактерий из зараженного организма не является эпидемиологически значимым. Передача инфекционных агентов из естественных мест обитания человеку и переход от сапрофитического к паразитическому способу их существования - основные условия для возникновения и развития легионеллеза.",890,3
Антитела,Антитела IgG к респираторно-синцитиальному вирусу (Аnti-RSV IgG),Кровь,"Исследование для выявления специфических антител класса G к респираторно-синцитиальному вирусу, которые являются маркёром текующей или перенесённой инфекции.",990,3
Антитела,Антитела антиспермальные в сыворотке,Сыворотка,"Антитела к спермальным антигенам – это специфические иммуноглобулины, действие которых направлено против сперматозоидов. Они вырабатываются иммунной системой мужчины или женщины в ответ на контакт со спермой и могут быть причиной бесплодия. В норме в организме здоровых людей антитела к спермальным антигенам не определяются.",990,7
Антитела,"Антитела к HBе-антигену вируса гепатита B, суммарные",Сыворотка,"Свидетельство перенесённого острого гепатита В, показатель ремиссии.",990,3
Антитела,Антитела к Vi-aнтигену вобудителя брюшного тифа,Сыворотка,"Антитела к Vi-антигену возбудителя брюшного тифа (S. typhi) – это специфические белки-иммуноглобулины, вырабатываемые иммунной системой в ответ на инфицирование возбудителем брюшного тифа и участвующие в реакциях иммунной защиты организма.",990,7
Антитела,"Антитела к Аденовирусу, IgA",Сыворотка,"Определение в венозной крови антител к возбудителям семейства Adenoviridae - иммуноглобулинов класса А (IgA), которые являются признаком острой или недавно перенесенной аденовирусной инфекции.",690,7
Антитела,"Антитела к Аденовирусу, IgG",Сыворотка,"Выявление специфических антител к возбудителям семейства Adenoviridae - иммуноглобулинов класса G (IgG), рост концентрации которых является признаком острой аденовирусной инфекции или обострения хронической.",690,7
Антитела,"Антитела к Аденовирусу, IgM",Сыворотка,"Определение антител класса IgM к аденовирусу является хорошим дополнением к методу прямого определения вируса для диагностики инфекций респираторного тракта, конъюнктивита, кератита, менингита и гастроэнтерита, повышая достоверность диагностики.",690,7
Антитела,"Антитела к амебе дизентерийной (Entamoeba histolytica), IgG",Сыворотка,"Анализ сыворотки крови на содержание IgG-антител к Entamoeba histolytica позволяет не только диагностировать наличие у пациента инвазивного амебиаза, но и выявить факт бессимптомного носительства, а также определить предшествующие случаи заболевания неинвазивным амебиазом.",1990,2
Антитела,"Антитела к аннексину V класса, IgG",Сыворотка,"Аннексины – это группа белков, отличительной особенностью которых является способность связывать фосфолипиды. Эти белки необходимы для транспорта органелл, передачи сигнала, а также деления, роста клеток и апоптоза. Выявление в крови иммуноглобулинов IgG к аннексину V, которое используется для оценки риска самопроизвольного прерывания беременности и тромбоза.",1590,3
Антитела,"Антитела к аннексину V класса, IgM",Сыворотка,"Выявление в крови иммуноглобулинов IgM к аннексину V, которое используется для оценки риска самопроизвольного прерывания беременности и тромбоза.",1590,3
Антитела,"Антитела к антигенам лямблий (суммарные: IgA, IgG, IgM)",Сыворотка,"Антитела к Giardia lamblia (возбудителю лямблиоза) – это специфические белки-иммуноглобулины, вырабатываемые иммунной системой в ответ на инфицирование лямблиями, что может быть признаком текущей инфекции, недавно перенесенного заболевания или возможного бессимптомного носительства.",1590,2
Антитела,"Антитела к аскаридам (Ascaris lumbricoides) IgЕ, P1",Сыворотка,"Выявление антител класса IgЕ к аллергенам аскарид. Глистная инвазия может приводит к развитию аллергических реакций на паразитарного агента. Иммуноглобулины Е отвечают за быстрый ответ на контакт с аллергеном. Если организм не имел контакта с данным аллергеном, тест будет отрицательным. Назначается для диагностики IgE-зависимой аллергии.",2190,2
Антитела,"Антитела к аскаридам (Ascaris lumbricoides), IgG",Сыворотка,"Показатель инфицирования человека аскаридами (гельминтами, червями), вызывающими заболевание аскаридоз. Возбудитель заболевания – аскарида человеческая (Ascaris lumbricoides), относящаяся к классу круглых червей. Заражение происходит при употреблении пищи (плохо помытых овощей, чаще корнеплодов), инфицированной яйцами аскарид, а также через грязные руки. Яйца аскарид попадают в тонкий кишечник, где из них выходят личинки.",1890,2
Антитела,Антитела к базальной мембране клубочка,Сыворотка,"Выявление в крови аутоантител к базальной мембране почечного клубочка, используемое для дифференциальной диагностики гломерулонефритов, а также оценки прогноза и контроля лечения синдрома Гудпасчера и гломерулонефрита, вызванного антителами к базальной мембране.",1290,2
Антитела,Антитела к базальной мембране кожи,Сыворотка,"Данное исследование проводится с целью дифференциального диагностирования заболеваний кожи. Базальная мембрана кожи представляет собой комплекс белков и полисахаридов, который расположен между эпителием и рыхлой соединительной тканью. Повреждение базальной мембраны приводит к нарушению взаимодействия между слоями кожи и внешне проявляет себя в виде формирования пузырей. Причин нарушения нормального состояния базальной мембраны может быть несколько, но наиболее распространенная - это аутоиммунное повреждение, которое возникает вследствие наличия в крови антител к базальной мембране коже.",2590,10
Антитела,Антитела к бета2-гликопротеину,Кровь,"Анализ, определяющий в крови антитела, количество которых увеличивается при артериальных и венозных тромбозах.",1290,3
Антитела,"Антитела к бледной трепонеме (Treponema pallidum), IgM",Сыворотка,"Выявление антител класса IgM к возбудителю сифилиса – венерического заболевания, вызываемого бактериями вида Treponema pallidum (бледная трепонема).
Когда происходит контакт человека с T. pallidum, его иммунная система реагирует, вырабатывая антитела к бактерии. В крови могут быть обнаружены два вида таких антител: IgM и IgG. 
 
В первую очередь производятся антитела IgM. Они выявляются у большинства людей в конце второй недели заболевания и присутствуют у большей части пациентов с первичным и вторичным сифилисом, поэтому тест на IgM может быть использован для различения свежеприобретенной и давней инфекции. 
 
Специфических трепонемных антител IgM нет у лечившихся в прошлом пациентов, но их отсутствие само по себе не говорит об эффективности проведенной терапии, поскольку у большинства из тех, кто не лечился, в скрытой стадии сифилиса IgM-антитела тоже отсутствуют.",790,3
